copd_me_3_rrmse_3_11_7_13, mntl_bh_p_me_2_rate_3_11_7_13, asthma_me_3_rrmse_3_11_7_13, area_code, mntl_bh_m_me_2_rate_3_11_7_13, copd_me_1_no_3_11_7_13, hypertens_me_1_no_3_11_7_13, hypertens_me_3_rrmse_3_11_7_13, respirtry_me_1_no_3_11_7_13, mntl_bh_m_me_1_no_3_11_7_13, hg_choles_me_2_rate_3_11_7_13, asthma_me_2_rate_3_11_7_13, diabetes_me_2_rate_3_11_7_13, musculo_me_3_rrmse_3_11_7_13, mntl_bh_f_me_3_rrmse_3_11_7_13, area_name, arthritis_me_1_no_3_11_7_13, respirtry_me_2_rate_3_11_7_13, arthritis_me_2_rate_3_11_7_13, hypertens_me_2_rate_3_11_7_13, circ_me_2_rate_3_11_7_13, mntl_bh_f_me_1_no_3_11_7_13, diabetes_me_3_rrmse_3_11_7_13, hg_choles_me_1_no_3_11_7_13, circ_me_3_rrmse_3_11_7_13, respirtry_me_3_rrmse_3_11_7_13, mntl_bh_p_me_3_rrmse_3_11_7_13, diabetes_me_1_no_3_11_7_13, asthma_me_1_no_3_11_7_13, mntl_bh_p_me_1_no_3_11_7_13, mntl_bh_f_me_2_rate_3_11_7_13, circ_me_1_no_3_11_7_13, musculo_me_2_rate_3_11_7_13, musculo_me_1_no_3_11_7_13, arthritis_me_3_rrmse_3_11_7_13, mntl_bh_m_me_3_rrmse_3_11_7_13, copd_me_2_rate_3_11_7_13, hg_choles_me_3_rrmse_3_11_7_13
1.0,12.8120026023713,3.0,22250,11.9533172418636,283.616568721796,1363.41990983347,3.0,3365.4337545581,639.883315175847,35.64172791422,13.7758222891955,3.73800398929038,3.0,3.0,"Gannawarra (S)",2367.12770223353,32.2004992556658,16.4846062582834,9.14328695771952,17.4074192045472,713.611965530803,1.0,3084.12168956867,3.0,3.0,3.0,416.031039802123,1443.77868363954,1353.49528070665,13.7792174094005,2419.0797473915,28.9167584502697,3645.74177781129,3.0,3.0,2.1651637203926,3.0
1.0,13.6162769784928,3.0,22410,11.8153845871968,483.009525635871,2334.60716550326,3.0,5957.52437602732,1229.61361772465,32.1607569187362,13.3263255640597,3.64342149859394,3.0,3.0,"Glenelg (S)",3530.60040793898,29.6538807833655,14.8302464783772,9.66284204354772,16.7762625263421,1541.15281974706,1.0,5276.38201173234,3.0,3.0,3.0,673.263470780824,2671.96268873634,2770.76643747172,15.5159214247802,3841.84762936561,27.5400455399486,6106.25009968327,3.0,3.0,2.15106193503017,3.0
3.0,12.2227141340219,3.0,22490,9.7523859394799,362.444134461741,1951.94893842994,3.0,6109.37265951554,983.827839429888,33.7003702374638,12.2428608422789,3.39709515456172,3.0,3.0,"Golden Plains (S)",2854.64554511576,31.9004665369182,14.7518740673829,10.2153141658242,16.527881370984,1372.67732399944,3.0,5068.5078988622,3.0,3.0,3.0,511.128335393152,2351.58685717895,2356.50516342933,14.8677269820284,3058.63113070084,27.8206984526833,5320.55837457543,3.0,3.0,1.89470921358622,3.0
3.0,14.1657348780236,3.0,22620,11.8894703714695,2341.53761008479,10857.5098872872,3.0,35216.3089145218,5958.31942886535,33.1763365970331,14.7445272275129,3.92712010558459,3.0,3.0,"Greater Bendigo (C)",17502.9511294055,34.7365301669964,16.2494750077517,9.98204314748964,16.8916117778825,8419.97069682627,3.0,25862.4965030521,3.0,3.0,3.0,3253.3124423162,15036.9304735898,14378.2901256916,16.3627898929138,17715.6661532946,28.2042472341969,29416.5450131924,3.0,3.0,2.20759645569074,3.0
3.0,12.3939402407389,3.0,22670,9.2727508806864,2512.3278053,13831.773973,3.0,39706.0610909,6651.7924505,31.9601199015371,8.01153745412685,8.29910587920173,3.0,3.0,"Greater Dandenong (C)",18970.7599325,27.7440899147839,13.7334195885657,10.0253444476521,16.9056664163991,10973.0167504,3.0,34676.9100277,3.0,3.0,3.0,8805.2088182,11487.7048337,17624.8092009,15.6449454635031,22861.6493485,24.6494981823865,34614.9553421,3.0,3.0,1.78680416498056,3.0
3.0,13.6493604132715,3.0,22750,11.9331688342787,4683.32867635603,24052.1494657034,3.0,64991.463132142,12673.7602287177,33.3642748330312,12.5367430328315,4.38714079037411,3.0,3.0,"Greater Geelong (C)",35562.859000466,30.2771376127853,15.0604718492475,10.0348302146239,16.8437689443762,16747.4517483412,3.0,56075.5070179678,3.0,3.0,3.0,7974.87590523099,26926.7388011888,29421.2119770589,15.3019850743628,38771.3785060373,27.6672580064961,62701.7879864253,3.0,3.0,2.04134562303569,3.0
3.0,13.5312769971664,3.0,22830,11.897007081674,1301.55499585739,6323.79599514929,3.0,20238.3216929563,3687.42591117674,33.9323944357607,13.2646852379826,4.31015698320295,3.0,3.0,"Greater Shepparton (C)",9379.35559850987,32.9917431125285,14.9035596527477,9.98350458684673,16.6324929605558,4580.91383230648,3.0,15803.3359192323,3.0,3.0,3.0,2088.54376875302,8192.56952580669,8268.33974348322,15.1875052911814,10196.1552707085,27.7944683817822,17135.7157662798,3.0,3.0,2.08118911717567,3.0
3.0,14.2987934206143,3.0,22910,12.7711525625372,363.795448254319,1923.43969173477,3.0,4456.08455655589,960.587373448872,35.0340287615454,11.117193196026,3.46640572578753,3.0,3.0,"Hepburn (S)",2946.56055452502,30.1340377948365,15.3224064757825,9.85935156053247,17.4503649467449,1211.76310619964,3.0,4496.65549915391,3.0,3.0,3.0,518.053257679398,1634.78363568937,2172.35047964851,15.8450505852427,3196.23842915205,28.5190738805097,4970.47765533796,3.0,3.0,2.05041766766705,3.0
1.0,13.78052702964,3.0,22980,11.5000073912656,149.041767312796,761.845736034786,3.0,1735.54363261727,346.340782904828,36.2888242117968,12.6769822125172,3.63923908822674,3.0,3.0,"Hindmarsh (S)",1277.01891147323,29.9270805524359,15.9944473112787,9.19158246326141,17.0769825671407,466.204943586682,1.0,1756.1859273981,3.0,3.0,3.0,223.549481895086,736.642133179098,812.545726491511,16.2873269779837,1321.26614315617,30.3998699645093,2134.09568993101,3.0,1.0,2.04505093260616,3.0
3.0,11.9373506344486,3.0,23110,9.83066856360031,1618.08725311755,8589.89275939921,3.0,27439.1776581427,4359.44683915775,32.5198126401697,10.2301644528514,5.65214668885266,3.0,3.0,"Hobsons Bay (C)",12348.2635873128,30.9511001499259,14.1351164057886,9.84568506949061,17.1968734212218,6242.23244953429,3.0,22643.1865067703,3.0,3.0,3.0,3807.57557329246,8996.07623485126,10601.679288692,14.0380861447761,14684.4617926606,26.0407778275628,23132.7471766287,3.0,3.0,1.85913865297811,3.0
